Proportion,Depth,Variant,Metric,Value
0.005,4.614999999999999,INDEL,Recall,0.758621
0.005,4.614999999999999,INDEL,Precision,0.956522
0.005,4.614999999999999,INDEL,F1,0.8461540000000001
0.005,4.614999999999999,SNP,Recall,0.8871530000000001
0.005,4.614999999999999,SNP,Precision,0.9864860000000001
0.005,4.614999999999999,SNP,F1,0.9341860000000001
0.01,8.51,INDEL,Recall,0.793103
0.01,8.51,INDEL,Precision,0.958333
0.01,8.51,INDEL,F1,0.867925
0.01,8.51,SNP,Recall,0.9461809999999999
0.01,8.51,SNP,Precision,0.990909
0.01,8.51,SNP,F1,0.9680280000000001
0.015,12.988333333333332,INDEL,Recall,0.793103
0.015,12.988333333333332,INDEL,Precision,0.958333
0.015,12.988333333333332,INDEL,F1,0.867925
0.015,12.988333333333332,SNP,Recall,0.9513889999999999
0.015,12.988333333333332,SNP,Precision,0.990958
0.015,12.988333333333332,SNP,F1,0.9707709999999999
0.02,17.040000000000003,INDEL,Recall,0.793103
0.02,17.040000000000003,INDEL,Precision,0.92
0.02,17.040000000000003,INDEL,F1,0.851852
0.02,17.040000000000003,SNP,Recall,0.9826389999999999
0.02,17.040000000000003,SNP,Precision,0.9929819999999999
0.02,17.040000000000003,SNP,F1,0.987784
0.025,21.18,INDEL,Recall,0.827586
0.025,21.18,INDEL,Precision,0.9615379999999999
0.025,21.18,INDEL,F1,0.889548
0.025,21.18,SNP,Recall,0.989583
0.025,21.18,SNP,Precision,0.9982489999999999
0.025,21.18,SNP,F1,0.9938969999999999
0.03,25.988333333333333,INDEL,Recall,0.827586
0.03,25.988333333333333,INDEL,Precision,0.9615379999999999
0.03,25.988333333333333,INDEL,F1,0.889548
0.03,25.988333333333333,SNP,Recall,0.989583
0.03,25.988333333333333,SNP,Precision,0.9982489999999999
0.03,25.988333333333333,SNP,F1,0.9938969999999999
0.035,30.11833333333334,INDEL,Recall,0.827586
0.035,30.11833333333334,INDEL,Precision,0.9615379999999999
0.035,30.11833333333334,INDEL,F1,0.889548
0.035,30.11833333333334,SNP,Recall,0.989583
0.035,30.11833333333334,SNP,Precision,0.9982489999999999
0.035,30.11833333333334,SNP,F1,0.9938969999999999
0.04,34.23666666666667,INDEL,Recall,0.827586
0.04,34.23666666666667,INDEL,Precision,0.9615379999999999
0.04,34.23666666666667,INDEL,F1,0.889548
0.04,34.23666666666667,SNP,Recall,0.989583
0.04,34.23666666666667,SNP,Precision,0.9982489999999999
0.04,34.23666666666667,SNP,F1,0.9938969999999999
0.045,38.43666666666667,INDEL,Recall,0.8620690000000001
0.045,38.43666666666667,INDEL,Precision,0.9629629999999999
0.045,38.43666666666667,INDEL,F1,0.9097270000000001
0.045,38.43666666666667,SNP,Recall,0.9930559999999999
0.045,38.43666666666667,SNP,Precision,1.0
0.045,38.43666666666667,SNP,F1,0.996516
0.05,43.05833333333334,INDEL,Recall,0.8620690000000001
0.05,43.05833333333334,INDEL,Precision,0.9629629999999999
0.05,43.05833333333334,INDEL,F1,0.9097270000000001
0.05,43.05833333333334,SNP,Recall,0.9930559999999999
0.05,43.05833333333334,SNP,Precision,1.0
0.05,43.05833333333334,SNP,F1,0.996516
0.055,47.73833333333334,INDEL,Recall,0.8620690000000001
0.055,47.73833333333334,INDEL,Precision,0.9629629999999999
0.055,47.73833333333334,INDEL,F1,0.9097270000000001
0.055,47.73833333333334,SNP,Recall,0.9930559999999999
0.055,47.73833333333334,SNP,Precision,1.0
0.055,47.73833333333334,SNP,F1,0.996516
0.06,51.91166666666667,INDEL,Recall,0.8620690000000001
0.06,51.91166666666667,INDEL,Precision,0.9629629999999999
0.06,51.91166666666667,INDEL,F1,0.9097270000000001
0.06,51.91166666666667,SNP,Recall,0.9930559999999999
0.06,51.91166666666667,SNP,Precision,1.0
0.06,51.91166666666667,SNP,F1,0.996516
0.065,56.401666666666664,INDEL,Recall,0.8620690000000001
0.065,56.401666666666664,INDEL,Precision,0.9629629999999999
0.065,56.401666666666664,INDEL,F1,0.9097270000000001
0.065,56.401666666666664,SNP,Recall,0.9930559999999999
0.065,56.401666666666664,SNP,Precision,1.0
0.065,56.401666666666664,SNP,F1,0.996516
0.07,60.95666666666667,INDEL,Recall,0.8620690000000001
0.07,60.95666666666667,INDEL,Precision,0.9629629999999999
0.07,60.95666666666667,INDEL,F1,0.9097270000000001
0.07,60.95666666666667,SNP,Recall,0.9930559999999999
0.07,60.95666666666667,SNP,Precision,1.0
0.07,60.95666666666667,SNP,F1,0.996516
0.075,64.83,INDEL,Recall,0.8620690000000001
0.075,64.83,INDEL,Precision,0.9629629999999999
0.075,64.83,INDEL,F1,0.9097270000000001
0.075,64.83,SNP,Recall,0.9930559999999999
0.075,64.83,SNP,Precision,1.0
0.075,64.83,SNP,F1,0.996516
0.08,69.21166666666666,INDEL,Recall,0.8620690000000001
0.08,69.21166666666666,INDEL,Precision,0.9629629999999999
0.08,69.21166666666666,INDEL,F1,0.9097270000000001
0.08,69.21166666666666,SNP,Recall,0.9930559999999999
0.08,69.21166666666666,SNP,Precision,1.0
0.08,69.21166666666666,SNP,F1,0.996516
0.085,74.15666666666667,INDEL,Recall,0.931034
0.085,74.15666666666667,INDEL,Precision,1.0
0.085,74.15666666666667,INDEL,F1,0.9642860000000001
0.085,74.15666666666667,SNP,Recall,1.0
0.085,74.15666666666667,SNP,Precision,1.0
0.085,74.15666666666667,SNP,F1,1.0
0.09,78.38166666666666,INDEL,Recall,0.931034
0.09,78.38166666666666,INDEL,Precision,1.0
0.09,78.38166666666666,INDEL,F1,0.9642860000000001
0.09,78.38166666666666,SNP,Recall,1.0
0.09,78.38166666666666,SNP,Precision,1.0
0.09,78.38166666666666,SNP,F1,1.0
0.095,82.895,INDEL,Recall,0.931034
0.095,82.895,INDEL,Precision,1.0
0.095,82.895,INDEL,F1,0.9642860000000001
0.095,82.895,SNP,Recall,1.0
0.095,82.895,SNP,Precision,1.0
0.095,82.895,SNP,F1,1.0
0.1,87.18833333333333,INDEL,Recall,0.931034
0.1,87.18833333333333,INDEL,Precision,1.0
0.1,87.18833333333333,INDEL,F1,0.9642860000000001
0.1,87.18833333333333,SNP,Recall,1.0
0.1,87.18833333333333,SNP,Precision,1.0
0.1,87.18833333333333,SNP,F1,1.0
