sample,platform,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2
HG002,Revio,1,1,1,1,0,1,1,1,1
HG003,Revio,1,1,1,0,0,1,1,1,1
HG004,Revio,1,1,1,1,0,1,1,1,1
HG005,Revio,0,1,1,0,1,1,1,1,1
HG01106,Revio,1,1,1,1,0,1,1,1,1
HG01258,Revio,1,1,1,1,0,1,1,1,1
HG01891,Revio,0,0,0,0,0,0,0,0,0
HG01928,Revio,0,1,0,0,0,1,1,1,1
HG02055,Revio,1,1,1,1,0,0,1,0,1
HG02630,Revio,1,1,1,0,0,0,1,0,1
HG03492,Revio,1,1,1,1,1,1,1,1,0
HG03579,Revio,1,1,1,1,0,0,1,0,0
IHW09021,Revio,1,0,0,1,0,0,0,0,0
IHW09049,Revio,1,1,1,0,1,0,0,1,0
IHW09071,Revio,1,1,1,0,0,0,1,0,1
IHW09117,Revio,1,1,1,1,1,1,1,1,1
IHW09118,Revio,1,0,0,0,0,1,0,0,0
IHW09122,Revio,1,1,1,1,0,1,1,1,1
IHW09125,Revio,0,1,1,1,0,1,0,1,0
IHW09175,Revio,1,1,1,0,0,1,1,1,0
IHW09198,Revio,0,1,1,1,0,1,1,1,1
IHW09200,Revio,1,1,1,1,0,1,1,1,1
IHW09224,Revio,1,1,1,1,1,1,1,1,0
IHW09245,Revio,1,1,1,0,0,0,1,1,1
IHW09251,Revio,1,1,0,1,0,0,0,0,0
IHW09359,Revio,1,1,0,0,0,0,1,0,1
IHW09364,Revio,1,1,1,0,0,1,0,1,0
IHW09409,Revio,1,1,1,1,0,1,1,1,0
NA19240,Revio,1,1,1,1,0,1,1,1,1
NA20129,Revio,1,1,1,1,0,1,1,1,1
NA21309,Revio,1,1,1,1,0,1,1,1,1
NA24694,Revio,1,1,1,0,1,1,1,1,1
NA24695,Revio,1,1,1,0,0,0,1,0,1
HG002,PromethION,1,1,1,1,1,1,1,1,1
HG003,PromethION,1,1,1,0,1,1,1,1,1
HG004,PromethION,1,1,1,1,1,1,1,1,1
HG005,PromethION,0,1,1,1,1,1,0,1,1
HG01106,PromethION,1,1,1,1,1,1,1,1,0
HG01258,PromethION,1,1,1,1,1,1,1,1,1
HG01891,PromethION,0,0,0,0,0,0,0,0,0
HG01928,PromethION,0,1,0,1,1,1,1,1,1
HG02055,PromethION,1,1,1,1,1,1,1,1,0
HG02630,PromethION,1,1,1,1,1,0,1,0,1
HG03492,PromethION,1,1,1,1,1,1,1,1,0
HG03579,PromethION,1,1,1,0,0,0,0,0,0
IHW09021,PromethION,1,0,0,1,1,0,0,0,0
IHW09049,PromethION,1,1,1,1,1,1,0,1,0
IHW09071,PromethION,1,1,1,0,0,0,0,0,0
IHW09117,PromethION,1,1,1,1,0,1,1,1,1
IHW09118,PromethION,1,1,0,1,1,1,0,1,0
IHW09122,PromethION,1,1,1,1,1,1,1,1,1
IHW09125,PromethION,0,1,1,1,0,1,0,1,0
IHW09175,PromethION,1,1,1,1,1,1,1,1,0
IHW09198,PromethION,1,1,1,1,0,1,1,1,1
IHW09200,PromethION,1,1,1,1,1,1,1,1,1
IHW09224,PromethION,1,1,1,1,1,1,1,1,1
IHW09245,PromethION,1,1,1,1,0,0,1,1,1
IHW09251,PromethION,1,1,0,1,1,0,0,0,0
IHW09359,PromethION,1,1,0,1,1,1,1,1,1
IHW09364,PromethION,1,1,1,1,1,1,1,1,0
IHW09409,PromethION,1,1,1,1,0,1,1,1,1
NA19240,PromethION,1,1,1,1,0,1,1,1,1
NA20129,PromethION,1,1,1,1,1,1,1,1,1
NA21309,PromethION,1,1,1,1,0,1,1,1,1
NA24694,PromethION,1,1,1,1,1,1,1,1,1
NA24695,PromethION,1,1,1,1,1,0,1,0,1
